Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,SharpSAT-TD,ExactMC,#sols,#Max_B,zdd_compile(s),cnf_compile(s)
grafo113.28,914,9279,,,,,,timeout,timeout,,,,,,0.513379,0.2851
grafo114.26,978,9095,,,,,,timeout,timeout,,,,,,0.560186,0.3002
grafo115.30,927,9038,,,,,,timeout,timeout,,,,,,0.499637,0.2764
grafo116.28,909,9460,,,,,,timeout,timeout,,,,,,0.539265,0.2799
grafo200.11,946,9344,,,,,,timeout,timeout,,,,,,0.571187,0.2871
grafo201.13,898,8914,,,,,,timeout,timeout,,,,,,0.480031,0.2691
grafo202.13,985,9318,,,,,,timeout,timeout,,,,,,0.585549,0.2981
grafo203.13,909,9157,,,,,,timeout,timeout,,,,,,0.488503,0.2646
grafo204.15,960,9551,,,,,,timeout,timeout,,,,,,0.577076,0.3071
grafo205.30,984,9058,,,,,,timeout,timeout,,,,,,0.564215,0.3075
grafo206.12,906,9086,,,,,,timeout,timeout,,,,,,0.502058,0.2734
grafo207.12,905,8698,,,,,,timeout,timeout,,,,,,0.490983,0.2723
grafo208.38,949,9111,,,,,,timeout,timeout,,,,,,0.50737,0.2884
grafo209.10,893,9339,,,,,,timeout,timeout,,,,,,0.516894,0.2772
grafo210.10,933,9315,,,,,,timeout,timeout,,,,,,0.543018,0.2994
grafo300.13,900,9574,,,,,,timeout,timeout,,,,,,0.510769,0.2784
grafo301.17,925,9077,,,,,,timeout,timeout,,,,,,0.529681,0.2824
grafo302.17,884,9355,,,,,,timeout,timeout,,,,,,0.514535,0.2813
grafo303.11,992,9114,,,,,,timeout,timeout,,,,,,0.595552,0.2993
grafo304.15,863,8949,,,,,,timeout,timeout,,,,,,0.449531,0.2636
grafo305.16,898,9239,,,,,,timeout,timeout,,,,,,0.507798,0.2717
grafo306.18,975,9363,,,,,,timeout,timeout,,,,,,0.55378,0.2998
grafo307.13,924,9571,,,,,,timeout,timeout,,,,,,0.549994,0.287
grafo308.14,973,8814,,,,,,timeout,timeout,,,,,,0.511994,0.2805
grafo309.26,942,8963,,,,,,timeout,timeout,,,,,,0.511583,0.2687
grafo310.14,907,9005,,,,,,timeout,timeout,,,,,,0.477084,0.2788
grafo311.16,909,8996,,,,,,timeout,timeout,,,,,,0.546637,0.2666
grafo312.27,1003,9170,,,,,,timeout,timeout,,,,,,0.614955,0.3009
grafo316.11,984,9440,,,,,,timeout,timeout,,,,,,0.582001,0.3056
grafo317.13,853,9375,,,,,,timeout,timeout,,,,,,0.499349,0.2771
grafo318.20,935,8940,,,,,,timeout,timeout,,,,,,0.526255,0.2748
grafo319.26,933,9126,,,,,,timeout,timeout,,,,,,0.54681,0.2771
grafo320.35,948,9181,,,,,,timeout,timeout,,,,,,0.539867,0.28
grafo340.15,963,8838,,,,,,timeout,timeout,,,,,,0.539584,0.2816
grafo341.30,921,9180,,,,,,timeout,timeout,,,,,,0.554925,0.2862
grafo342.16,852,8670,,,,,,timeout,timeout,,,,,,0.450005,0.2401
grafo343.14,916,9291,,,,,,timeout,timeout,,,,,,0.582361,0.2843
grafo344.36,986,9135,,,,,,timeout,timeout,,,,,,0.569768,0.2998
grafo345.14,984,8649,,,,,,timeout,timeout,,,,,,0.534168,0.2816
grafo346.19,927,9092,,,,,,timeout,timeout,,,,,,0.515018,0.29
grafo7622.45,1011,677,,,,,,0.0138,318.5635,,,,,,0.00115,0.0186
grafo7623.45,966,773,,,,,,0.0051,0.0035,,,,,,0.001362,0.0207
grafo7624.41,152,617,,,,,,0.0172,0.0045,,,,,,0.00103,0.0059
grafo7625.47,496,857,,,,,,0.0045,996.6817,,,,,,0.001704,0.014
grafo7626.38,111,617,,,,,,0.0055,0.0064,,,,,,0.000937,0.0052
grafo7627.57,1068,1042,,,,,,0.0134,0.0037,,,,,,0.002605,0.0326
grafo7628.47,199,707,,,,,,0.0044,262.7850,,,,,,0.001272,0.0072
grafo8025.82,767,1349,,,,,,0.0186,876.0974,,,,,,0.005673,0.0313
grafo8032.68,1198,1147,,,,,,0.0061,551.5908,,,,,,0.003809,0.0371
grafo8039.65,264,891,,,,,,0.0133,79.1564,,,,,,0.002841,0.0107
grafo8186.90,1288,1457,,,,,,870.8687,44.7854,,,,,,0.006764,0.0516
grafo8187.70,921,1099,,,,,,0.0184,0.0060,,,,,,0.004088,0.0286
grafo8188.62,1130,1104,,,,,,487.6396,357.6596,,,,,,0.002901,0.0335
grafo8189.85,349,1443,,,,,,0.0056,402.0844,,,,,,0.006207,0.0199
grafo8190.73,73,1009,,,,,,0.0125,135.0273,,,,,,0.003202,0.0084
grafo8222.84,851,1407,,,,,,0.0058,292.2539,,,,,,0.006158,0.0368
grafo8223.99,595,1558,,,,,,0.0148,timeout,,,,,,0.007188,0.0301
grafo8224.100,449,1392,,,,,,1110.7607,0.0206,,,,,,0.006555,0.0223
grafo8225.88,1376,1295,,,,,,0.1567,460.1190,,,,,,0.005267,0.0463
grafo8226.90,685,1282,,,,,,0.0051,378.9225,,,,,,0.00547,0.0272
