Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,SharpSAT-TD,ExactMC,#sols,#Max_B,zdd_compile(s),cnf_compile(s)
Cernet,568,2677,,,,3.8975,2.3479,,,,,,1.522197e+100,20,0.070243,0.0531
Cesnet1993,586,2760,,,,3.5421,1.9617,,,,,,1.218507e+94,20,0.080164,0.0576
Cesnet1997,548,2788,,,,7.5936,5.0060,,,,,,5.976313e+104,20,0.081864,0.0544
Chinanet,496,2716,,,,9.9411,6.8010,,,,,,3.683258e+113,20,0.062097,0.0482
Cynet,606,2816,,,,11.3428,7.8996,,,,,,6.014676e+98,20,0.089511,0.0631
Grena,623,2600,,,,4.4765,3.8675,,,,,,1.252015e+84,20,0.087352,0.0556
Gridnet,458,2635,,,,8.0098,4.2783,,,,,,1.147169e+116,20,0.061896,0.0446
Grnet,562,2713,,,,3.4751,2.3471,,,,,,3.965925e+96,20,0.082235,0.052
GtsCe,555,2896,,,,6.6908,4.8995,,,,,,2.715196e+112,20,0.086446,0.0583
GtsCzechRepublic,547,2681,,,,6.0775,6.6604,,,,,,1.194144e+102,20,0.075373,0.0502
Harnet,545,2615,,,,3.1100,1.9361,,,,,,1.151193e+97,20,0.070056,0.0501
Heanet,592,2652,,,,3.5951,2.4062,,,,,,6.983183e+88,20,0.082551,0.0566
HiberniaCanada,588,2816,,,,6.6554,3.3534,,,,,,4.037893e+105,20,0.092423,0.0582
Ibm,543,2814,,,,11.2863,9.3777,,,,,,1.894468e+106,20,0.074104,0.0541
Integra,531,2658,,,,17.0408,11.4727,,,,,,1.853968e+111,20,0.069097,0.0497
Litnet,491,2765,,,,18.8099,12.3093,,,,,,8.270007e+123,20,0.070212,0.0486
Marwan,575,2844,,,,16.8521,10.9872,,,,,,3.135062e+103,20,0.077515,0.0568
Ntt,521,2986,,,,11.0908,8.5322,,,,,,2.987699e+120,20,0.079153,0.055
Oteglobe,550,2919,,,,13.2994,9.1712,,,,,,1.507590e+113,20,0.082594,0.0567
Oxford,558,2687,,,,10.0942,6.7796,,,,,,5.136322e+100,20,0.077076,0.0514
Rediris,557,2721,,,,5.7874,3.1679,,,,,,7.240818e+104,20,0.084961,0.0525
Renater2001,531,2630,,,,10.6989,6.1888,,,,,,2.840211e+102,20,0.072735,0.0477
Sago,597,2720,,,,3.7811,3.8912,,,,,,3.143663e+89,20,0.083324,0.057
Savvis,564,2679,,,,7.5812,4.6543,,,,,,6.535950e+104,20,0.080061,0.051
Surfnet,508,3038,,,,10.4216,7.6086,,,,,,2.382202e+125,20,0.084864,0.0551
Syringa,520,3012,,,,19.4449,11.3953,,,,,,1.507453e+122,20,0.078473,0.0578
TLex,532,2703,,,,6.4085,3.7723,,,,,,3.485300e+110,20,0.072996,0.0507
Telcove,576,2596,,,,2.9570,1.5239,,,,,,8.931537e+93,20,0.078002,0.0541
UniC,528,2675,,,,8.6965,10.0426,,,,,,8.481905e+107,20,0.071436,0.0498
Uninet,563,2708,,,,3.3868,2.5809,,,,,,1.143470e+100,20,0.084205,0.0533
Uran,537,2650,,,,6.4617,3.3244,,,,,,3.560103e+106,20,0.069807,0.0478
Uunet,532,2787,,,,11.4986,8.4070,,,,,,2.236280e+112,20,0.080013,0.0534
grafo113.28,914,9279,,,,timeout,timeout,,,,,,,,0.513379,0.2851
grafo114.26,978,9095,,,,timeout,timeout,,,,,,,,0.560186,0.3002
grafo115.30,927,9038,,,,timeout,timeout,,,,,,,,0.499637,0.2764
grafo116.28,909,9460,,,,timeout,timeout,,,,,,,,0.539265,0.2799
grafo200.11,946,9344,,,,timeout,timeout,,,,,,,,0.571187,0.2871
grafo201.13,898,8914,,,,timeout,timeout,,,,,,,,0.480031,0.2691
grafo202.13,985,9318,,,,timeout,timeout,,,,,,,,0.585549,0.2981
grafo203.13,909,9157,,,,timeout,timeout,,,,,,,,0.488503,0.2646
grafo204.15,960,9551,,,,timeout,timeout,,,,,,,,0.577076,0.3071
grafo205.30,984,9058,,,,timeout,timeout,,,,,,,,0.564215,0.3075
grafo206.12,906,9086,,,,timeout,timeout,,,,,,,,0.502058,0.2734
grafo207.12,905,8698,,,,timeout,timeout,,,,,,,,0.490983,0.2723
grafo208.38,949,9111,,,,timeout,timeout,,,,,,,,0.50737,0.2884
grafo209.10,893,9339,,,,timeout,timeout,,,,,,,,0.516894,0.2772
grafo210.10,933,9315,,,,timeout,timeout,,,,,,,,0.543018,0.2994
grafo300.13,900,9574,,,,timeout,timeout,,,,,,,,0.510769,0.2784
grafo301.17,925,9077,,,,timeout,timeout,,,,,,,,0.529681,0.2824
grafo302.17,884,9355,,,,timeout,timeout,,,,,,,,0.514535,0.2813
grafo303.11,992,9114,,,,timeout,timeout,,,,,,,,0.595552,0.2993
grafo304.15,863,8949,,,,timeout,timeout,,,,,,,,0.449531,0.2636
grafo305.16,898,9239,,,,timeout,timeout,,,,,,,,0.507798,0.2717
grafo306.18,975,9363,,,,timeout,timeout,,,,,,,,0.55378,0.2998
grafo307.13,924,9571,,,,timeout,timeout,,,,,,,,0.549994,0.287
grafo308.14,973,8814,,,,timeout,timeout,,,,,,,,0.511994,0.2805
grafo309.26,942,8963,,,,timeout,timeout,,,,,,,,0.511583,0.2687
grafo310.14,907,9005,,,,timeout,timeout,,,,,,,,0.477084,0.2788
grafo311.16,909,8996,,,,timeout,timeout,,,,,,,,0.546637,0.2666
grafo312.27,1003,9170,,,,timeout,timeout,,,,,,,,0.614955,0.3009
grafo316.11,984,9440,,,,timeout,timeout,,,,,,,,0.582001,0.3056
grafo317.13,853,9375,,,,timeout,timeout,,,,,,,,0.499349,0.2771
grafo318.20,935,8940,,,,timeout,timeout,,,,,,,,0.526255,0.2748
grafo319.26,933,9126,,,,timeout,timeout,,,,,,,,0.54681,0.2771
grafo320.35,948,9181,,,,timeout,timeout,,,,,,,,0.539867,0.28
grafo340.15,963,8838,,,,timeout,timeout,,,,,,,,0.539584,0.2816
grafo341.30,921,9180,,,,timeout,timeout,,,,,,,,0.554925,0.2862
grafo342.16,852,8670,,,,timeout,timeout,,,,,,,,0.450005,0.2401
grafo343.14,916,9291,,,,timeout,timeout,,,,,,,,0.582361,0.2843
grafo344.36,986,9135,,,,timeout,timeout,,,,,,,,0.569768,0.2998
grafo345.14,984,8649,,,,timeout,timeout,,,,,,,,0.534168,0.2816
grafo346.19,927,9092,,,,timeout,timeout,,,,,,,,0.515018,0.29
grafo7622.45,1011,677,,,,263.8369,260.5648,,,,,,4.226485e+24,2,0.00115,0.0186
grafo7623.45,966,773,,,,736.0658,751.7624,,,,,,2.549084e+27,2,0.001362,0.0207
grafo7624.41,152,617,,,,26.3741,28.2531,,,,,,3.378530e+21,2,0.00103,0.0059
grafo7625.47,496,857,,,,856.2650,1018.5642,,,,,,1.337459e+29,2,0.001704,0.014
grafo7626.38,111,617,,,,40.5793,38.9432,,,,,,5.799022e+21,2,0.000937,0.0052
grafo7627.57,1068,1042,,,,1000.2622,940.7764,,,,,,3.772952e+35,3,0.002605,0.0326
grafo7628.47,199,707,,,,261.3970,257.7780,,,,,,4.888366e+26,2,0.001272,0.0072
grafo8025.82,767,1349,,,,801.2954,730.4682,,,,,,5.029981e+44,4,0.005673,0.0313
grafo8032.68,1198,1147,,,,453.9652,384.5784,,,,,,7.695075e+40,3,0.003809,0.0371
grafo8039.65,264,891,,,,56.7454,53.2398,,,,,,1.558039e+33,3,0.002841,0.0107
grafo8186.90,1288,1457,,,,840.5536,902.7979,,,,,,4.883039e+50,4,0.006764,0.0516
grafo8187.70,921,1099,,,,timeout,timeout,,,,,,,,0.004088,0.0286
grafo8188.62,1130,1104,,,,411.7868,403.6775,,,,,,7.687587e+35,3,0.002901,0.0335
grafo8189.85,349,1443,,,,timeout,timeout,,,,,,,,0.006207,0.0199
grafo8190.73,73,1009,,,,303.0388,332.0576,,,,,,5.009174e+36,3,0.003202,0.0084
grafo8222.84,851,1407,,,,531.8511,522.3455,,,,,,2.858200e+44,4,0.006158,0.0368
grafo8223.99,595,1558,,,,timeout,timeout,,,,,,,,0.007188,0.0301
grafo8224.100,449,1392,,,,882.8536,765.4653,,,,,,4.319972e+52,4,0.006555,0.0223
grafo8225.88,1376,1295,,,,499.3106,510.4681,,,,,,2.235981e+48,4,0.005267,0.0463
grafo8226.90,685,1282,,,,308.7642,293.7764,,,,,,2.476583e+47,4,0.00547,0.0272
